run_id,timestamp,bench,device,test_name,signal,value,lower_bound,upper_bound,duration_ms,temperature_c,supply_v
R0009,2026-08-26T02:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,4.492577,0.0,8.0,37.762,85.0,3.3
R0009,2026-08-26T02:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.094365,2.6,3.45,18.634,85.0,3.3
R0010,2026-08-26T03:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.332419,3.2,3.4,15.352,85.0,3.3
R0010,2026-08-26T03:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,4.164015,0.0,8.0,33.473,85.0,3.3
R0010,2026-08-26T03:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.04825,2.6,3.45,19.948,85.0,3.3
R0011,2026-08-26T04:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.312019,3.2,3.4,19.786,25.0,3.3
R0011,2026-08-26T04:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,4.8325,0.0,8.0,34.606,25.0,3.3
R0011,2026-08-26T04:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.094602,2.6,3.45,17.681,25.0,3.3
R0012,2026-08-26T05:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.251933,3.2,3.4,14.011,25.0,3.0
R0012,2026-08-26T05:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,5.079853,0.0,8.0,31.378,25.0,3.0
R0012,2026-08-26T05:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,2.88731,2.6,3.45,23.197,25.0,3.0
R0013,2026-08-26T06:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.29766,3.2,3.4,17.178,85.0,3.3
R0013,2026-08-26T06:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,3.782486,0.0,8.0,33.644,85.0,3.3
R0013,2026-08-26T06:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.170418,2.6,3.45,11.091,85.0,3.3
R0014,2026-08-26T07:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.285146,3.2,3.4,12.216,25.0,3.3
R0014,2026-08-26T07:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,4.446884,0.0,8.0,32.882,25.0,3.3
R0014,2026-08-26T07:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.133961,2.6,3.45,18.087,25.0,3.3
R0015,2026-08-26T08:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.274413,3.2,3.4,18.717,25.0,3.3
R0015,2026-08-26T08:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,4.542998,0.0,8.0,40.437,25.0,3.3
R0015,2026-08-26T08:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.170107,2.6,3.45,19.427,25.0,3.3
R0016,2026-08-26T09:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.284006,3.2,3.4,14.294,25.0,3.3
R0016,2026-08-26T09:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,4.146624,0.0,8.0,29.493,25.0,3.3
R0016,2026-08-26T09:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.158109,2.6,3.45,17.111,25.0,3.3
R0017,2026-08-26T10:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.342838,3.2,3.4,21.353,125.0,3.3
R0017,2026-08-26T10:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,11.433936,0.0,8.0,36.658,125.0,3.3
R0017,2026-08-26T10:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.020628,2.6,3.45,9.472,125.0,3.3
R0018,2026-08-26T11:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.289616,3.2,3.4,15.552,25.0,3.3
R0018,2026-08-26T11:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,4.308486,0.0,8.0,39.264,25.0,3.3
R0018,2026-08-26T11:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.129423,2.6,3.45,17.365,25.0,3.3
R0019,2026-08-26T12:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.272842,3.2,3.4,17.785,25.0,3.0
R0019,2026-08-26T12:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,5.969154,0.0,8.0,35.521,25.0,3.0
R0019,2026-08-26T12:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,2.968964,2.6,3.45,16.003,25.0,3.0
R0020,2026-08-26T13:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.266869,3.2,3.4,26.514,25.0,3.0
R0020,2026-08-26T13:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,4.286099,0.0,8.0,38.354,25.0,3.0
R0020,2026-08-26T13:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,2.855824,2.6,3.45,21.726,25.0,3.0
R0021,2026-08-26T14:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.298981,3.2,3.4,15.381,25.0,3.3
R0021,2026-08-26T14:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,4.689947,0.0,8.0,33.18,25.0,3.3
R0021,2026-08-26T14:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.046464,2.6,3.45,12.888,25.0,3.3
R0022,2026-08-26T15:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.165,3.2,3.4,17.525,85.0,3.3
R0022,2026-08-26T15:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,4.585787,0.0,8.0,40.224,85.0,3.3
R0022,2026-08-26T15:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.133163,2.6,3.45,16.356,85.0,3.3
R0023,2026-08-26T16:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.323394,3.2,3.4,18.733,25.0,3.0
R0023,2026-08-26T16:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,4.024095,0.0,8.0,29.527,25.0,3.0
R0023,2026-08-26T16:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.009056,2.6,3.45,24.895,25.0,3.0
R0024,2026-08-26T17:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.321536,3.2,3.4,13.572,25.0,3.0
R0024,2026-08-26T17:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,4.238427,0.0,8.0,37.573,25.0,3.0
R0024,2026-08-26T17:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,2.886324,2.6,3.45,17.98,25.0,3.0
R0025,2026-08-26T18:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.320187,3.2,3.4,18.362,25.0,3.0
R0025,2026-08-26T18:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,5.23856,0.0,8.0,26.799,25.0,3.0
R0025,2026-08-26T18:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,2.907077,2.6,3.45,14.627,25.0,3.0
R0026,2026-08-26T19:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.276647,3.2,3.4,21.664,25.0,3.0
R0026,2026-08-26T19:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,3.957845,0.0,8.0,35.123,25.0,3.0
R0026,2026-08-26T19:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,2.88095,2.6,3.45,16.689,25.0,3.0
R0027,2026-08-26T20:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.333435,3.2,3.4,17.382,25.0,3.3
R0027,2026-08-26T20:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,3.947637,0.0,8.0,34.105,25.0,3.3
R0027,2026-08-26T20:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.13455,2.6,3.45,18.706,25.0,3.3
R0028,2026-08-26T21:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.290706,3.2,3.4,28.07,25.0,3.0
R0028,2026-08-26T21:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,6.039949,0.0,8.0,31.587,25.0,3.0
R0028,2026-08-26T21:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,2.892757,2.6,3.45,12.146,25.0,3.0
R0029,2026-08-26T22:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.336146,3.2,3.4,15.084,85.0,3.0
R0029,2026-08-26T22:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,4.394805,0.0,8.0,26.411,85.0,3.0
R0029,2026-08-26T22:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,2.90024,2.6,3.45,13.75,85.0,3.0
R0030,2026-08-26T23:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.307764,3.2,3.4,14.493,85.0,3.3
R0030,2026-08-26T23:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,4.338729,0.0,8.0,27.969,85.0,3.3
R0030,2026-08-26T23:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.031977,2.6,3.45,26.517,85.0,3.3
R0031,2026-08-27T00:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.345923,3.2,3.4,29.62,25.0,3.3
R0031,2026-08-27T00:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,8.530132,0.0,8.0,36.366,25.0,3.3
R0031,2026-08-27T00:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.223722,2.6,3.45,14.053,25.0,3.3
R0032,2026-08-27T01:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.325869,3.2,3.4,16.495,25.0,3.6
R0032,2026-08-27T01:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,3.893015,0.0,8.0,29.5,25.0,3.6
R0032,2026-08-27T01:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.31571,2.6,3.45,16.934,25.0,3.6
R0033,2026-08-27T02:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.296788,3.2,3.4,22.051,25.0,3.0
R0033,2026-08-27T02:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,4.921029,0.0,8.0,36.407,25.0,3.0
R0033,2026-08-27T02:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,2.913189,2.6,3.45,18.0,25.0,3.0
R0034,2026-08-27T03:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.303568,3.2,3.4,26.373,85.0,3.0
R0034,2026-08-27T03:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,5.842681,0.0,8.0,36.543,85.0,3.0
R0034,2026-08-27T03:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,2.864217,2.6,3.45,13.55,85.0,3.0
R0035,2026-08-27T04:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.318004,3.2,3.4,11.022,85.0,3.0
R0035,2026-08-27T04:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,5.422835,0.0,8.0,36.818,85.0,3.0
R0035,2026-08-27T04:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,2.843374,2.6,3.45,16.114,85.0,3.0
R0036,2026-08-27T05:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.313696,3.2,3.4,17.586,85.0,3.3
R0036,2026-08-27T05:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,4.236215,0.0,8.0,35.61,85.0,3.3
R0036,2026-08-27T05:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.20829,2.6,3.45,7.733,85.0,3.3
R0037,2026-08-27T06:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.3074,3.2,3.4,16.512,25.0,3.3
R0037,2026-08-27T06:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,3.258131,0.0,8.0,36.312,25.0,3.3
R0037,2026-08-27T06:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.223641,2.6,3.45,11.865,25.0,3.3
R0038,2026-08-27T07:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.298467,3.2,3.4,13.788,25.0,3.3
R0038,2026-08-27T07:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,4.182603,0.0,8.0,40.2,25.0,3.3
R0038,2026-08-27T07:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.154959,2.6,3.45,24.929,25.0,3.3
R0039,2026-08-27T08:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.343598,3.2,3.4,19.756,25.0,3.3
R0039,2026-08-27T08:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,4.938192,0.0,8.0,33.814,25.0,3.3
R0039,2026-08-27T08:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.123993,2.6,3.45,15.21,25.0,3.3
R0040,2026-08-27T09:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.340559,3.2,3.4,17.237,85.0,3.3
R0040,2026-08-27T09:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,5.161311,0.0,8.0,38.003,85.0,3.3
R0040,2026-08-27T09:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.229239,2.6,3.45,20.923,85.0,3.3
R0041,2026-08-27T10:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.2907,3.2,3.4,15.927,125.0,3.0
R0041,2026-08-27T10:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,6.802298,0.0,8.0,37.55,125.0,3.0
R0041,2026-08-27T10:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,2.828064,2.6,3.45,13.945,125.0,3.0
R0042,2026-08-27T11:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.283221,3.2,3.4,19.248,25.0,3.3
R0042,2026-08-27T11:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,5.150953,0.0,8.0,37.435,25.0,3.3
R0042,2026-08-27T11:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,2.982523,2.6,3.45,19.217,25.0,3.3
R0043,2026-08-27T12:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.361405,3.2,3.4,9.747,85.0,3.3
R0043,2026-08-27T12:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,4.015783,0.0,8.0,37.364,85.0,3.3
R0043,2026-08-27T12:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.025104,2.6,3.45,23.904,85.0,3.3
R0044,2026-08-27T13:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.306726,3.2,3.4,21.255,85.0,3.3
R0044,2026-08-27T13:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,5.094507,0.0,8.0,35.932,85.0,3.3
R0044,2026-08-27T13:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.134064,2.6,3.45,19.081,85.0,3.3
R0045,2026-08-27T14:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.296187,3.2,3.4,19.534,25.0,3.3
R0045,2026-08-27T14:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,5.049886,0.0,8.0,30.766,25.0,3.3
R0045,2026-08-27T14:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.112499,2.6,3.45,83.74,25.0,3.3
R0046,2026-08-27T15:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.320058,3.2,3.4,21.378,25.0,3.6
R0046,2026-08-27T15:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,3.987427,0.0,8.0,40.316,25.0,3.6
R0046,2026-08-27T15:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.381408,2.6,3.45,21.367,25.0,3.6
R0047,2026-08-27T16:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.309871,3.2,3.4,9.986,25.0,3.6
R0047,2026-08-27T16:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,5.022765,0.0,8.0,33.169,25.0,3.6
R0047,2026-08-27T16:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.336473,2.6,3.45,23.238,25.0,3.6
R0048,2026-08-27T17:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.280968,3.2,3.4,14.823,85.0,3.3
R0048,2026-08-27T17:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,4.685764,0.0,8.0,37.097,85.0,3.3
R0048,2026-08-27T17:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.136576,2.6,3.45,12.349,85.0,3.3
R0049,2026-08-27T18:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.338206,3.2,3.4,19.838,125.0,3.6
R0049,2026-08-27T18:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,5.43627,0.0,8.0,35.553,125.0,3.6
R0049,2026-08-27T18:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.335608,2.6,3.45,18.917,125.0,3.6
R0050,2026-08-27T19:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.27276,3.2,3.4,18.787,-40.0,3.3
R0050,2026-08-27T19:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,4.933344,0.0,8.0,33.425,-40.0,3.3
R0050,2026-08-27T19:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.15127,2.6,3.45,16.937,-40.0,3.3
R0051,2026-08-27T20:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.212423,3.2,3.4,12.814,-40.0,3.0
R0051,2026-08-27T20:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,3.856579,0.0,8.0,25.666,-40.0,3.0
R0051,2026-08-27T20:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,2.869304,2.6,3.45,20.998,-40.0,3.0
R0052,2026-08-27T21:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.36223,3.2,3.4,23.311,125.0,3.3
R0052,2026-08-27T21:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,5.35506,0.0,8.0,40.414,125.0,3.3
R0052,2026-08-27T21:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.085528,2.6,3.45,14.65,125.0,3.3
R0053,2026-08-27T22:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.277797,3.2,3.4,16.568,25.0,3.3
R0053,2026-08-27T22:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,4.92233,0.0,8.0,41.883,25.0,3.3
R0053,2026-08-27T22:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.037069,2.6,3.45,19.571,25.0,3.3
R0054,2026-08-27T23:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.281723,3.2,3.4,10.676,25.0,3.0
R0054,2026-08-27T23:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,5.423393,0.0,8.0,32.58,25.0,3.0
R0054,2026-08-27T23:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,2.877966,2.6,3.45,13.721,25.0,3.0
R0055,2026-08-28T00:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.295269,3.2,3.4,19.315,25.0,3.3
R0055,2026-08-28T00:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,4.635249,0.0,8.0,40.283,25.0,3.3
R0055,2026-08-28T00:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.099433,2.6,3.45,12.093,25.0,3.3
R0056,2026-08-28T01:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.348865,3.2,3.4,19.534,85.0,3.3
R0056,2026-08-28T01:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,4.314761,0.0,8.0,36.395,85.0,3.3
R0056,2026-08-28T01:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.237061,2.6,3.45,26.308,85.0,3.3
R0057,2026-08-28T02:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.326906,3.2,3.4,14.617,25.0,3.3
R0057,2026-08-28T02:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,4.616496,0.0,8.0,34.897,25.0,3.3
R0057,2026-08-28T02:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.138834,2.6,3.45,14.667,25.0,3.3
R0058,2026-08-28T03:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.272065,3.2,3.4,16.165,25.0,3.3
R0058,2026-08-28T03:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,8.920624,0.0,8.0,39.424,25.0,3.3
R0058,2026-08-28T03:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.062275,2.6,3.45,19.391,25.0,3.3
R0059,2026-08-28T04:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.325633,3.2,3.4,20.477,85.0,3.3
R0059,2026-08-28T04:45:09.003612+00:00,hil-bench-b,dut-4,pll_lock_time,lock_ms,4.179482,0.0,8.0,39.255,85.0,3.3
R0059,2026-08-28T04:45:09.003612+00:00,hil-bench-b,dut-4,spi_high_level,voh,3.051484,2.6,3.45,18.025,85.0,3.3
R0060,2026-08-28T05:45:09.003612+00:00,hil-bench-a,dut-1,adc_reference,vref,3.33583,3.2,3.4,18.366,25.0,3.3
R0060,2026-08-28T05:45:09.003612+00:00,hil-bench-a,dut-1,pll_lock_time,lock_ms,4.777505,0.0,8.0,34.773,25.0,3.3
R0060,2026-08-28T05:45:09.003612+00:00,hil-bench-a,dut-1,spi_high_level,voh,3.109776,2.6,3.45,14.882,25.0,3.3
R0061,2026-08-28T06:45:09.003612+00:00,hil-bench-b,dut-2,adc_reference,vref,3.17164,3.2,3.4,22.341,25.0,3.6
R0061,2026-08-28T06:45:09.003612+00:00,hil-bench-b,dut-2,pll_lock_time,lock_ms,4.218245,0.0,8.0,33.855,25.0,3.6
R0061,2026-08-28T06:45:09.003612+00:00,hil-bench-b,dut-2,spi_high_level,voh,3.357238,2.6,3.45,16.765,25.0,3.6
R0062,2026-08-28T07:45:09.003612+00:00,hil-bench-a,dut-3,adc_reference,vref,3.29161,3.2,3.4,10.037,25.0,3.3
R0062,2026-08-28T07:45:09.003612+00:00,hil-bench-a,dut-3,pll_lock_time,lock_ms,3.42821,0.0,8.0,40.455,25.0,3.3
R0062,2026-08-28T07:45:09.003612+00:00,hil-bench-a,dut-3,spi_high_level,voh,3.173711,2.6,3.45,15.122,25.0,3.3
R0063,2026-08-28T08:45:09.003612+00:00,hil-bench-b,dut-4,adc_reference,vref,3.286413,3.2,3.4,27.682,25.0,3.3
